Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       Egz.
Lukas          Virgaitis      6         10        4         4         6         2
Romas          Jonaitis       4         3         1         1         8         6
Tomas          Mantaitis      3         10        6         1         9         3
Kazys          Virgaitis      5         10        6         10        10        8
Petras         Valdaitis      5         9         7         8         9         6
Romas          Virgaitis      7         2         4         9         10        4
Petras         Tomaitis       8         8         8         8         4         2
Tomas          Valdaitis      5         3         7         8         4         7
Virgis         Mataitis       6         6         6         2         2         1
Romas          Petraitis      2         9         2         6         4         1
Valdas         Mataitis       3         4         8         9         1         6
Antanas        Mataitis       10        4         9         6         1         3
Virgis         Mataitis       5         4         4         7         4         4
Matas          Antanaitis     7         5         5         4         5         1
Petras         Romaitis       1         7         3         5         8         5
Romas          Kazaitis       1         3         9         8         1         2
Romas          Mataitis       10        10        9         7         5         8
Valdas         Antanaitis     10        2         1         10        3         6
Tomas          Antanaitis     8         4         10        5         9         4
Antanas        Romaitis       3         7         8         9         6         1
Virgis         Mantaitis      9         2         8         10        2         5
Valdas         Kazaitis       5         4         9         4         6         3
Antanas        Mantaitis      7         1         1         5         3         8
Kazys          Valdaitis      6         6         9         8         5         8
Antanas        Valdaitis      5         7         7         10        4         8
Valdas         Petraitis      2         6         4         1         6         10
Virgis         Romaitis       7         5         3         2         10        7
Romas          Petraitis      8         7         5         5         2         1
Antanas        Petraitis      6         4         8         5         6         2
Tomas          Tomaitis       4         9         9         6         4         5
Antanas        Valdaitis      2         1         3         10        3         5
Lukas          Tomaitis       2         8         10        2         4         1
Mantas         Mantaitis      5         7         1         1         8         10
Matas          Jonaitis       8         9         3         2         9         3
Valdas         Antanaitis     3         4         7         5         6         7
Kazys          Mantaitis      7         6         6         7         1         9
Lukas          Mataitis       1         2         6         3         5         3
Lukas          Virgaitis      4         6         9         3         5         7
Antanas        Jonaitis       5         3         7         1         8         4
Tomas          Antanaitis     3         1         7         3         2         10
Mantas         Jonaitis       5         8         1         1         8         8
Mantas         Kazaitis       5         1         6         7         5         2
Valdas         Mataitis       9         2         7         10        5         7
Valdas         Virgaitis      5         5         4         2         4         4
Antanas        Virgaitis      7         10        5         8         9         8
Petras         Petraitis      5         7         3         9         1         2
Matas          Lukaitis       2         9         1         7         4         5
Virgis         Mantaitis      6         2         2         3         6         8
Jonas          Mataitis       8         2         3         9         4         3
Romas          Mantaitis      4         9         10        6         5         2
Mantas         Virgaitis      5         6         9         9         6         6
Petras         Jonaitis       6         4         6         6         4         1
Kazys          Mantaitis      9         5         2         9         10        5
Kazys          Valdaitis      2         8         3         5         3         3
Jonas          Kazaitis       3         1         1         10        10        1
Tomas          Virgaitis      4         7         3         4         6         8
Romas          Mantaitis      7         5         5         5         5         9
Petras         Jonaitis       2         1         7         8         9         9
Romas          Tomaitis       10        9         1         8         9         5
Valdas         Tomaitis       5         7         1         8         9         4
Romas          Lukaitis       10        9         4         3         6         1
